cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
3238,84,,91,84,3,7,18732.9984203214,5094.411,75637,1,-121.972494262609,43.2876828539255
3239,84,,91,84,3,7,18722.9984200014,5093.919,75658,1,-121.972371056441,43.2876844682233
3240,84,,91,84,3,7,18712.9984196814,5093.08,75694,1,-121.972247850267,43.287686082386
3241,92,,94,92,3,5,13881.3121222435,5004.067,97810,1,-121.932821537042,43.288195677618
3242,96,,97,96,4,3,12063.372671676,4978.677,291559,,-121.919638215222,43.2883629880381
3243,96,,97,96,4,3,11393.250717144,4976.161,315804,1,-121.914217014875,43.2884313398942
3244,96,,97,96,4,3,11383.250716824,4976.069,315807,1,-121.914093805633,43.2884328903064
3245,97,,99,97,4,2,11316.6821721988,4974.913,325200,1,-121.913477759326,43.2884406403418
3246,97,,99,97,4,2,11306.6821718788,4974.913,325214,1,-121.913354550045,43.2884421899436
3247,97,,99,97,4,2,11296.6821715588,4974.876,325234,1,-121.913231340758,43.2884437394104
3248,97,,99,97,4,2,11195.9714902175,4974.661,326189,1,-121.912368875572,43.2884545818961
3249,97,,99,97,4,2,11123.5450810286,4974.269,326426,1,-121.911752828819,43.2884623224768
3250,27,,66,27,1,14,22299.4660642656,6063.832,632,,-121.998857979501,43.287244283122
3251,29,,81,29,1,11,22039.0497503288,5886.857,2020,,-121.995408249536,43.2872902416227
3252,77,,84,77,2,8,19143.4147390582,5126.606,7675,,-121.976188229115,43.2875443577428
3253,84,,91,84,3,7,18901.9933750954,5103.085,74373,,-121.974216935784,43.2875702350907
3254,84,,91,84,3,7,18891.9933747754,5103.061,74374,1,-121.974093729895,43.287571851277
3255,84,,91,84,3,7,18881.9933744554,5101.894,74377,1,-121.973970523998,43.2875734673281
3256,84,,91,84,3,7,18853.7091023029,5101.213,74380,1,-121.973724112186,43.2875766990253
3257,84,,91,84,3,7,18805.4248295102,5098.112,74814,1,-121.973231288482,43.2875831607988
3258,84,,91,84,3,7,18747.1405563977,5094.411,75635,1,-121.972615258702,43.2875912349768
3259,92,,94,92,3,5,13895.4542583197,5004.851,97787,,-121.932696178585,43.2881072431298
3260,96,,97,96,4,3,12053.372671356,4978.677,291560,,-121.919636084632,43.2882729824922
3261,96,,97,96,4,3,11584.6720795068,4976.711,294896,1,-121.915939818553,43.288319614324
3262,96,,97,96,4,3,11574.6720791867,4976.711,294906,1,-121.915816609585,43.2883211666248
3263,96,,97,96,4,3,11407.3928532202,4976.161,315757,1,-121.914338101469,43.2883397837
3264,96,,97,96,4,3,11369.1085807477,4975.992,315811,1,-121.913968474296,43.2883444349297
3265,96,,97,96,4,3,11340.8243085951,4975.369,315814,1,-121.91372205615,43.2883475350743
3266,97,,97,96,4,2,11330.8243082751,4974.913,325174,1,-121.913598847067,43.2883490849439
3267,97,,99,97,4,2,11185.9714898975,4974.661,326207,1,-121.912366755887,43.2883645762118
